,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,pose
122,"['0.36428562', '0.47499064']","['0.36188254', '0.47393245']","['0.36108175', '0.47840574']","['0.36234227', '0.47601852']","['0.36056966', '0.4897236']","['0.37740213', '0.4736204']","['0.3731546', '0.49867064']","['0.3907622', '0.4718987']","['0.38088605', '0.50371367']","['0.3995178', '0.47622645']","['0.409936', '0.4933657']","['0.44407976', '0.4730918']","['0.4449019', '0.49214184']","['0.4766686', '0.47455636']","['0.4756264', '0.4866042']","['0.5399079', '0.481842']","['0.534875', '0.49660817']",t
123,"['0.37987304', '0.5159209']","['0.3751078', '0.529379']","['0.37295702', '0.507628']","['0.3869954', '0.5497244']","['0.38666448', '0.50049067']","['0.43873802', '0.56075543']","['0.42975897', '0.49253854']","['0.34960353', '0.59810024']","['0.35353398', '0.4652095']","['0.2755511', '0.6075959']","['0.2788865', '0.44933325']","['0.61742437', '0.52594763']","['0.606304', '0.47837907']","['0.69840586', '0.53512555']","['0.6754254', '0.51886344']","['0.83328146', '0.5021071']","['0.8301203', '0.5020555']",t
124,"['0.2685453', '0.5317157']","['0.25074834', '0.5478192']","['0.25108787', '0.51210904']","['0.2583986', '0.561159']","['0.25754002', '0.48862988']","['0.3264789', '0.5802539']","['0.3115008', '0.4653715']","['0.22016592', '0.6223441']","['0.21409692', '0.44036913']","['0.112938374', '0.5523075']","['0.11319591', '0.52454066']","['0.5331341', '0.5289447']","['0.513224', '0.44860232']","['0.72258514', '0.5135647']","['0.5639727', '0.3494096']","['0.90527946', '0.49621478']","['0.67677367', '0.44555858']",t
125,"['0.29692718', '0.4946655']","['0.28648943', '0.5029084']","['0.28722122', '0.4844301']","['0.29376444', '0.5144135']","['0.29703024', '0.47260958']","['0.3415573', '0.5313181']","['0.3452897', '0.45037466']","['0.4167336', '0.54508007']","['0.4154364', '0.42773554']","['0.38228837', '0.4980476']","['0.37708077', '0.45745194']","['0.47560734', '0.5206252']","['0.48578882', '0.4780279']","['0.5270985', '0.61514306']","['0.59693766', '0.4872153']","['0.5312486', '0.510778']","['0.6996865', '0.49741298']",t
126,"['0.26563695', '0.49080172']","['0.25559586', '0.5038136']","['0.2571523', '0.47407588']","['0.26837534', '0.5219684']","['0.2719892', '0.4610849']","['0.3351431', '0.5495658']","['0.33126113', '0.42849866']","['0.21964802', '0.5768198']","['0.21176818', '0.4127991']","['0.119200304', '0.51881444']","['0.11828485', '0.48174408']","['0.56563395', '0.5197812']","['0.56867146', '0.43034047']","['0.6782817', '0.6664136']","['0.77033496', '0.4530818']","['0.6606257', '0.49802655']","['0.9349543', '0.46463844']",t
127,"['0.2293868', '0.49560517']","['0.22419149', '0.5084278']","['0.22218497', '0.4820197']","['0.24318767', '0.5304635']","['0.24317363', '0.47031066']","['0.3054844', '0.5569885']","['0.30867022', '0.4448614']","['0.21745898', '0.58199185']","['0.20982614', '0.40732336']","['0.12844606', '0.58950645']","['0.10157839', '0.40516412']","['0.522215', '0.5221044']","['0.51542807', '0.45097366']","['0.7192941', '0.50850123']","['0.6123895', '0.3228856']","['0.8695173', '0.47727874']","['0.5954329', '0.46024197']",t
128,"['0.33654815', '0.48811218']","['0.32678702', '0.49802133']","['0.32590222', '0.47822583']","['0.33681452', '0.5139765']","['0.33849528', '0.46321875']","['0.37421054', '0.5300461']","['0.3822027', '0.44719794']","['0.29006913', '0.5432578']","['0.3021383', '0.43540946']","['0.20249143', '0.53483975']","['0.21740822', '0.43575898']","['0.5393881', '0.52459544']","['0.547628', '0.46422294']","['0.63518476', '0.59194195']","['0.68861955', '0.4894814']","['0.701918', '0.5168709']","['0.7597072', '0.49724752']",t
129,"['0.30154914', '0.5111348']","['0.28711155', '0.5246169']","['0.2858237', '0.4990858']","['0.29525936', '0.54175806']","['0.3001679', '0.48427653']","['0.3596171', '0.5569454']","['0.3561322', '0.45610183']","['0.23620203', '0.55575097']","['0.24058722', '0.46267116']","['0.14279756', '0.5337175']","['0.13684268', '0.4966319']","['0.577778', '0.5356628']","['0.5697943', '0.45651537']","['0.7481404', '0.51938623']","['0.6575284', '0.3232704']","['0.89957017', '0.5018537']","['0.6709596', '0.48297197']",t
130,"['0.24225684', '0.4796288']","['0.2321046', '0.4953608']","['0.23086828', '0.46154514']","['0.24652077', '0.5155935']","['0.24470556', '0.4430507']","['0.3115963', '0.53721905']","['0.30820125', '0.4138945']","['0.18186748', '0.5275849']","['0.18213981', '0.43414235']","['0.075685166', '0.50210446']","['0.081697635', '0.46454483']","['0.5361939', '0.5300355']","['0.5475914', '0.44283918']","['0.63433796', '0.6862366']","['0.76141113', '0.47681484']","['0.6352169', '0.5247779']","['0.91082954', '0.50099725']",t
131,"['0.09541393', '0.53276515']","['0.08043312', '0.5517178']","['0.0799682', '0.51582056']","['0.10229424', '0.575635']","['0.1040724', '0.49274287']","['0.20695779', '0.6216505']","['0.21107407', '0.44329157']","['0.30774587', '0.6847234']","['0.32546306', '0.376525']","['0.26107705', '0.54923093']","['0.26245493', '0.4984266']","['0.46572936', '0.5791664']","['0.46529552', '0.45679003']","['0.698186', '0.556782']","['0.60359', '0.2866839']","['0.9095317', '0.5201112']","['0.58355606', '0.5266052']",t
132,"['0.1330579', '0.51295006']","['0.11565821', '0.52947944']","['0.118136', '0.49182668']","['0.13317823', '0.5533743']","['0.1393173', '0.4684162']","['0.23678444', '0.6009463']","['0.2413137', '0.4322399']","['0.34225968', '0.66284156']","['0.35013157', '0.35541472']","['0.33596942', '0.5323837']","['0.33652365', '0.482237']","['0.49467012', '0.5545904']","['0.48297003', '0.44362378']","['0.6991299', '0.53285074']","['0.6208439', '0.27709043']","['0.89636713', '0.502872']","['0.58519495', '0.4782203']",t
133,"['0.12854931', '0.5096365']","['0.110551514', '0.5263947']","['0.11049017', '0.49006736']","['0.12141815', '0.5471229']","['0.12573157', '0.46424225']","['0.21840282', '0.5967855']","['0.22337428', '0.41511983']","['0.36069924', '0.62627465']","['0.36923447', '0.39488855']","['0.29347348', '0.5272747']","['0.29207423', '0.48202574']","['0.5017036', '0.55485785']","['0.4881562', '0.44484532']","['0.69773537', '0.5105212']","['0.6763981', '0.33199894']","['0.8941135', '0.48236507']","['0.576644', '0.50676197']",t
134,"['0.24051464', '0.43966827']","['0.23092334', '0.45400658']","['0.23227628', '0.42500344']","['0.24742997', '0.47659892']","['0.25167292', '0.407818']","['0.32381946', '0.5096816']","['0.3292818', '0.3815086']","['0.20842697', '0.5536184']","['0.21063152', '0.33796927']","['0.13460782', '0.4686264']","['0.13767955', '0.42132473']","['0.5679687', '0.49250603']","['0.5620102', '0.3943604']","['0.7904431', '0.47576785']","['0.67438674', '0.2527708']","['0.960202', '0.44403237']","['0.7020683', '0.4293456']",t
135,"['0.35584402', '0.5045373']","['0.34160325', '0.51641846']","['0.33949152', '0.49803254']","['0.3420863', '0.5299083']","['0.3468814', '0.4800399']","['0.3749665', '0.54662293']","['0.37318864', '0.46540573']","['0.26977998', '0.5365247']","['0.2761907', '0.46814963']","['0.22779158', '0.5181443']","['0.22671033', '0.48817787']","['0.5365631', '0.5230336']","['0.52509993', '0.46249944']","['0.6553865', '0.4941327']","['0.58446854', '0.3667638']","['0.7685216', '0.47922662']","['0.5898402', '0.46086273']",t
136,"['0.39231253', '0.71766233']","['0.38584182', '0.72863305']","['0.38225985', '0.70818394']","['0.39421993', '0.74130714']","['0.39092672', '0.6938924']","['0.42863283', '0.75211906']","['0.4311424', '0.6834552']","['0.34568313', '0.7575535']","['0.33945632', '0.67753744']","['0.28733334', '0.7343252']","['0.28921837', '0.704972']","['0.5796366', '0.75435704']","['0.59583557', '0.702442']","['0.63950735', '0.8440865']","['0.6961756', '0.7314135']","['0.62487763', '0.7618692']","['0.80355614', '0.73702955']",t
137,"['0.010622799', '0.5265035']","['0.0009758875', '0.5682213']","['0.0019378942', '0.51572305']","['-0.0020318283', '0.6026556']","['-0.0035691902', '0.47139215']","['0.08342749', '0.6838727']","['0.063799605', '0.40450078']","['0.29699647', '0.7531801']","['0.2828052', '0.32706988']","['0.22650437', '0.5814049']","['0.22932346', '0.5050438']","['0.47241354', '0.59101254']","['0.44792384', '0.4375875']","['0.79042387', '0.5426051']","['0.57212764', '0.19847871']","['0.99230325', '0.5031503']","['0.6385098', '0.48801136']",t
138,"['0.34112418', '0.39300728']","['0.32692376', '0.40341318']","['0.33020753', '0.38576666']","['0.3342939', '0.41000482']","['0.33627343', '0.37209186']","['0.37539074', '0.41222754']","['0.37004974', '0.36468998']","['0.43138242', '0.426403']","['0.4172267', '0.36051533']","['0.4134513', '0.4137216']","['0.39512557', '0.39975128']","['0.48141414', '0.40416285']","['0.4798476', '0.36534065']","['0.5802589', '0.38169318']","['0.5100059', '0.2857808']","['0.6786277', '0.37357292']","['0.5486475', '0.37390694']",t
139,"['0.10370567', '0.49314326']","['0.08534916', '0.5116522']","['0.08545059', '0.47426936']","['0.09392911', '0.5362244']","['0.09883452', '0.4506513']","['0.20324795', '0.58686554']","['0.2057778', '0.39931288']","['0.3668993', '0.60272783']","['0.37271863', '0.38200808']","['0.2785958', '0.5048513']","['0.27880117', '0.46305865']","['0.4877471', '0.5354608']","['0.48431742', '0.42830876']","['0.72090214', '0.5034128']","['0.7024273', '0.30148774']","['0.92300963', '0.46711114']","['0.5999494', '0.47917226']",t
140,"['0.41439193', '0.4039775']","['0.40355888', '0.41681808']","['0.40164554', '0.3937324']","['0.41059828', '0.43333283']","['0.4135428', '0.37823343']","['0.45445767', '0.4510663']","['0.46811143', '0.36499625']","['0.3471734', '0.44875714']","['0.3440484', '0.36623582']","['0.2584277', '0.42693344']","['0.26370138', '0.38552922']","['0.6436371', '0.45241502']","['0.65294784', '0.38279355']","['0.73635685', '0.55282265']","['0.79093516', '0.39670894']","['0.69611925', '0.42892057']","['0.9151051', '0.42024893']",t
141,"['0.080935255', '0.48736185']","['0.063866064', '0.505893']","['0.062472004', '0.46994326']","['0.079713345', '0.52936554']","['0.078663036', '0.4458957']","['0.19047758', '0.5794394']","['0.19154765', '0.3887452']","['0.3399929', '0.6224292']","['0.3355987', '0.34114915']","['0.26577184', '0.508649']","['0.2742289', '0.45239943']","['0.4492026', '0.5539354']","['0.4698206', '0.44757828']","['0.521664', '0.74745154']","['0.69046223', '0.49985284']","['0.58588785', '0.5287056']","['0.9154087', '0.5175862']",t
142,"['0.33272862', '0.49158177']","['0.31915203', '0.5055776']","['0.31930575', '0.47735628']","['0.32822087', '0.5264785']","['0.3293059', '0.46336946']","['0.3761019', '0.5345586']","['0.37593022', '0.45228732']","['0.282111', '0.55573726']","['0.29246682', '0.42492068']","['0.20801124', '0.5100232']","['0.20904666', '0.4725392']","['0.5587927', '0.5118785']","['0.54707545', '0.44902498']","['0.7110802', '0.5053268']","['0.63972956', '0.43370494']","['0.7879026', '0.49468127']","['0.6757752', '0.48727703']",t
143,"['0.33596405', '0.47047225']","['0.3290992', '0.48003027']","['0.32234567', '0.46210617']","['0.34195334', '0.48658317']","['0.33154166', '0.4459938']","['0.37641028', '0.50192267']","['0.3770903', '0.43502662']","['0.27464747', '0.5055348']","['0.2834013', '0.43125933']","['0.20818381', '0.48196045']","['0.21333975', '0.45884323']","['0.5245756', '0.50789607']","['0.5379678', '0.44514224']","['0.59385765', '0.6098493']","['0.66156703', '0.4739342']","['0.59547764', '0.4930949']","['0.7977387', '0.47849986']",t
144,"['0.32246578', '0.492248']","['0.3118125', '0.50605756']","['0.30966198', '0.4828434']","['0.31693023', '0.5289203']","['0.32020637', '0.47581884']","['0.36284426', '0.5387664']","['0.36512303', '0.46222636']","['0.26652575', '0.52891064']","['0.26827', '0.46284592']","['0.2020147', '0.5124281']","['0.20173998', '0.47650555']","['0.52392405', '0.5256037']","['0.513486', '0.4630402']","['0.67078453', '0.507751']","['0.5877707', '0.37766564']","['0.7849408', '0.49600792']","['0.5766443', '0.4841001']",t
145,"['0.2653961', '0.5085069']","['0.25189966', '0.524152']","['0.25286958', '0.4938513']","['0.26329494', '0.54450285']","['0.26595753', '0.48281783']","['0.3202723', '0.57200164']","['0.32678893', '0.4602925']","['0.19034508', '0.5775183']","['0.20774983', '0.44713846']","['0.10015783', '0.5189459']","['0.102678575', '0.48588136']","['0.5599331', '0.5577851']","['0.55395114', '0.47761828']","['0.7576693', '0.5464204']","['0.6604954', '0.33505428']","['0.9284669', '0.5182425']","['0.6806562', '0.5001551']",t
146,"['0.29003263', '0.4664572']","['0.2770801', '0.48113418']","['0.2767789', '0.45168954']","['0.2827717', '0.49959117']","['0.28222787', '0.4348834']","['0.34193358', '0.5193599']","['0.34149244', '0.41064087']","['0.23485035', '0.5388022']","['0.22255012', '0.40339127']","['0.13522488', '0.49681067']","['0.13535619', '0.45438716']","['0.5439672', '0.51342773']","['0.5580464', '0.4339765']","['0.65851444', '0.6463864']","['0.72480434', '0.46181828']","['0.6232643', '0.50080466']","['0.88115853', '0.48130167']",t
147,"['0.28484866', '0.46796095']","['0.27423912', '0.48098698']","['0.27311277', '0.45449197']","['0.28526756', '0.49449313']","['0.2852611', '0.434316']","['0.3514818', '0.51392674']","['0.3435378', '0.4199444']","['0.23775695', '0.5083311']","['0.22810674', '0.4269033']","['0.12873986', '0.49060145']","['0.13043898', '0.45022485']","['0.54496247', '0.5047549']","['0.55566293', '0.42974302']","['0.63893527', '0.62859666']","['0.7437444', '0.4572995']","['0.63953424', '0.4696126']","['0.9075665', '0.47839224']",t
148,"['0.21354449', '0.48373523']","['0.20228787', '0.49734998']","['0.20189811', '0.46995524']","['0.21548781', '0.51402336']","['0.21762204', '0.45780036']","['0.28059468', '0.5432031']","['0.28350648', '0.41532025']","['0.38035908', '0.60322505']","['0.3740639', '0.3724475']","['0.36211362', '0.52262044']","['0.3648047', '0.46840292']","['0.47436', '0.53710383']","['0.4894801', '0.4580215']","['0.52343005', '0.6714295']","['0.64935833', '0.48167375']","['0.5414778', '0.51705253']","['0.8091379', '0.51212287']",t
149,"['0.25855917', '0.47625747']","['0.24298869', '0.49223575']","['0.2423478', '0.45912048']","['0.25074854', '0.5131858']","['0.25370988', '0.44168285']","['0.3159402', '0.5391125']","['0.31311804', '0.41242516']","['0.18376654', '0.55401355']","['0.19098791', '0.379413']","['0.08854', '0.48849222']","['0.09485024', '0.45167634']","['0.55843407', '0.5001861']","['0.55337524', '0.40645167']","['0.7711994', '0.46895182']","['0.68079233', '0.25486597']","['0.9293511', '0.45197162']","['0.6455451', '0.43059307']",t
150,"['0.25894624', '0.47352535']","['0.24257237', '0.4884531']","['0.24100465', '0.45821023']","['0.24748822', '0.5082432']","['0.24889055', '0.43759573']","['0.30678937', '0.5381938']","['0.3144762', '0.40724733']","['0.1845337', '0.57118374']","['0.18471558', '0.3765965']","['0.094874695', '0.5020738']","['0.09264984', '0.46061096']","['0.5487386', '0.51992023']","['0.5583483', '0.4290353']","['0.6488491', '0.6815919']","['0.74728364', '0.45453462']","['0.6498107', '0.49935192']","['0.91443527', '0.48080698']",t
151,"['0.27647007', '0.47444057']","['0.26319137', '0.48730943']","['0.2626149', '0.46384335']","['0.27071232', '0.5005472']","['0.2727616', '0.45110744']","['0.32215434', '0.5297034']","['0.32449755', '0.42484552']","['0.40731993', '0.55115145']","['0.40770537', '0.41426572']","['0.35955316', '0.52135104']","['0.3506307', '0.46607077']","['0.49336988', '0.507476']","['0.48693684', '0.44677922']","['0.6109557', '0.486926']","['0.5567915', '0.355411']","['0.7213248', '0.4772247']","['0.5308972', '0.46521595']",t
152,"['0.29862297', '0.56334496']","['0.28625876', '0.5733377']","['0.28644288', '0.5525744']","['0.29313886', '0.58427745']","['0.29658395', '0.5402994']","['0.34367144', '0.6025044']","['0.33893824', '0.51432186']","['0.40626034', '0.6444046']","['0.41204017', '0.47998676']","['0.38509083', '0.5789514']","['0.3891016', '0.53956556']","['0.49840268', '0.5821995']","['0.5080103', '0.53408474']","['0.56270117', '0.6806595']","['0.6073381', '0.55705976']","['0.5489844', '0.58120775']","['0.69997853', '0.57157946']",t
153,"['0.25004864', '0.55004036']","['0.23696284', '0.5612908']","['0.23643526', '0.53215104']","['0.24613275', '0.5721991']","['0.24838048', '0.507763']","['0.30900034', '0.5979485']","['0.3045019', '0.47863352']","['0.19361556', '0.6197474']","['0.19318128', '0.45934132']","['0.081924796', '0.6272929']","['0.08267634', '0.4489293']","['0.5283466', '0.5640902']","['0.5173677', '0.48670143']","['0.7050043', '0.5367871']","['0.63559383', '0.35877952']","['0.8688538', '0.5239436']","['0.6258907', '0.5102133']",t
154,"['0.36201742', '0.49997494']","['0.35381752', '0.5095786']","['0.35110325', '0.49121442']","['0.36388555', '0.52339685']","['0.3609691', '0.47805843']","['0.39721683', '0.5355338']","['0.39485592', '0.46689665']","['0.3197348', '0.5607185']","['0.3218639', '0.44127494']","['0.26833153', '0.5148343']","['0.2722813', '0.48383027']","['0.5216739', '0.5385049']","['0.5312486', '0.48615953']","['0.58649635', '0.6100917']","['0.6157274', '0.49953708']","['0.58371425', '0.5596883']","['0.71085024', '0.51568276']",t
155,"['0.25111783', '0.5308137']","['0.24027094', '0.54329175']","['0.23944074', '0.5194276']","['0.24619742', '0.5610609']","['0.25070938', '0.50864863']","['0.3076541', '0.5885402']","['0.30490622', '0.47927043']","['0.4020262', '0.62382853']","['0.3921696', '0.4410597']","['0.3700166', '0.54993296']","['0.367708', '0.5117382']","['0.49458453', '0.55439633']","['0.49118474', '0.4827719']","['0.6279276', '0.5327843']","['0.5636175', '0.3741819']","['0.755769', '0.5135102']","['0.5402806', '0.501985']",t
156,"['0.20785151', '0.45147634']","['0.19447261', '0.46857858']","['0.19507757', '0.43476072']","['0.21295573', '0.48793218']","['0.21540871', '0.41331333']","['0.29674137', '0.5212954']","['0.30541742', '0.3839337']","['0.18374334', '0.56906']","['0.18690482', '0.33754978']","['0.10042512', '0.46881562']","['0.10438007', '0.42731366']","['0.5351015', '0.51301646']","['0.546226', '0.41871077']","['0.6296207', '0.6814644']","['0.7327369', '0.45483276']","['0.6757803', '0.504597']","['0.8886603', '0.48601285']",t
157,"['0.26293784', '0.4212588']","['0.24965088', '0.4333419']","['0.2518081', '0.40184933']","['0.2595761', '0.44826007']","['0.26427218', '0.3859885']","['0.32100385', '0.46707395']","['0.3256768', '0.3674808']","['0.2028505', '0.4716922']","['0.20044483', '0.35788223']","['0.11154877', '0.4363771']","['0.11706567', '0.3971583']","['0.5403725', '0.4646111']","['0.5392423', '0.3773678']","['0.6619644', '0.59682643']","['0.7313401', '0.40783772']","['0.62448823', '0.44336617']","['0.8899613', '0.43123582']",t
158,"['0.24408713', '0.54742414']","['0.23086953', '0.53469723']","['0.2275187', '0.53458357']","['0.24147545', '0.5048082']","['0.24213384', '0.50105435']","['0.31932855', '0.49991712']","['0.32087296', '0.4973017']","['0.18603548', '0.49242896']","['0.17740205', '0.49544305']","['0.07083011', '0.4854171']","['0.071420625', '0.48442617']","['0.5435322', '0.51664823']","['0.54696935', '0.5154081']","['0.73051316', '0.50313395']","['0.73492193', '0.49656138']","['0.8978569', '0.47508416']","['0.9023822', '0.47310856']",t
159,"['0.31888044', '0.50686055']","['0.30335036', '0.52081996']","['0.30404916', '0.4902942']","['0.31060073', '0.5428586']","['0.31609738', '0.47583666']","['0.37483853', '0.5637032']","['0.37825605', '0.45099849']","['0.26206073', '0.62307566']","['0.2763639', '0.38686913']","['0.21723142', '0.52324164']","['0.21816652', '0.4866115']","['0.62020975', '0.5465636']","['0.6116697', '0.4656523']","['0.8084934', '0.5213565']","['0.67571276', '0.30179295']","['0.75207275', '0.50991875']","['0.68531454', '0.47592187']",t
160,"['0.32145035', '0.7879286']","['0.30745772', '0.80082244']","['0.30684042', '0.7789013']","['0.31017038', '0.81159335']","['0.31565708', '0.76260495']","['0.3520289', '0.82108265']","['0.34500727', '0.7501363']","['0.29630277', '0.87350816']","['0.2918139', '0.70337033']","['0.23590077', '0.90204626']","['0.21097492', '0.6588921']","['0.511363', '0.8017556']","['0.5035757', '0.74653983']","['0.6235603', '0.78822595']","['0.56496674', '0.6712356']","['0.7208791', '0.7729374']","['0.5368379', '0.7326144']",t
161,"['0.28407624', '0.39777726']","['0.27778184', '0.3922425']","['0.2917087', '0.3773147']","['0.29490262', '0.4024155']","['0.3312135', '0.37473622']","['0.3131474', '0.4725983']","['0.4023804', '0.37920713']","['0.19885671', '0.46455592']","['0.5098191', '0.40450737']","['0.15261863', '0.384154']","['0.55903727', '0.33607924']","['0.5431969', '0.5422622']","['0.54192674', '0.46231937']","['0.7315672', '0.5243764']","['0.60993797', '0.32939342']","['0.87516874', '0.47867545']","['0.6099803', '0.4794012']",t
162,"['0.20023751', '0.4713033']","['0.19150153', '0.48624054']","['0.19136943', '0.45315537']","['0.21592788', '0.5043745']","['0.21623467', '0.43396395']","['0.2874291', '0.5416291']","['0.2935787', '0.39736956']","['0.22255217', '0.6456286']","['0.21245402', '0.2980005']","['0.1463358', '0.7285088']","['0.14414921', '0.21611395']","['0.5184964', '0.5339481']","['0.525017', '0.4454136']","['0.62847173', '0.6913937']","['0.7441559', '0.47871125']","['0.6249724', '0.51274943']","['0.90827596', '0.5017582']",t
163,"['0.17649776', '0.39048523']","['0.16370006', '0.39546928']","['0.16540618', '0.37821504']","['0.16769703', '0.39918378']","['0.17417829', '0.3547788']","['0.22212397', '0.4143847']","['0.22420052', '0.34541267']","['0.28672606', '0.4500299']","['0.2916563', '0.34796628']","['0.2672576', '0.43191147']","['0.25496408', '0.39529118']","['0.3479669', '0.40543267']","['0.3433744', '0.35361403']","['0.44875154', '0.39130002']","['0.41614014', '0.282064']","['0.543761', '0.38563195']","['0.50198877', '0.3484974']",t
164,"['0.30837262', '0.5015824']","['0.29586247', '0.51019204']","['0.29613096', '0.49130127']","['0.30098802', '0.5248058']","['0.30567616', '0.4804243']","['0.35210314', '0.54641765']","['0.34600583', '0.44767857']","['0.42023394', '0.5762079']","['0.41963458', '0.4198325']","['0.39405206', '0.5167529']","['0.3909641', '0.476685']","['0.50717837', '0.52084666']","['0.50043553', '0.46496734']","['0.6211836', '0.4949044']","['0.5750343', '0.3759917']","['0.73135203', '0.48571703']","['0.6000001', '0.4864792']",t
165,"['0.2632282', '0.38767093']","['0.25470468', '0.39970464']","['0.25118575', '0.37603486']","['0.26462018', '0.42019635']","['0.26231852', '0.36108038']","['0.31378123', '0.43624443']","['0.3154194', '0.33999735']","['0.20793466', '0.44085696']","['0.20894097', '0.34117225']","['0.12105008', '0.41415343']","['0.12145557', '0.37251604']","['0.5109612', '0.4428449']","['0.52171487', '0.3613107']","['0.59060645', '0.5738588']","['0.6811414', '0.38718078']","['0.5874107', '0.41887453']","['0.83948725', '0.40491772']",t
166,"['0.2162262', '0.49415132']","['0.19832677', '0.50872236']","['0.20238878', '0.47750238']","['0.2081698', '0.5272518']","['0.21621351', '0.46039763']","['0.27331632', '0.5335801']","['0.27754644', '0.45138723']","['0.36033487', '0.5798484']","['0.36071503', '0.39714843']","['0.34072948', '0.53888196']","['0.306289', '0.46654248']","['0.4520845', '0.5189272']","['0.45936796', '0.45848837']","['0.53660786', '0.58583605']","['0.60730577', '0.48861337']","['0.62579453', '0.5174447']","['0.7413233', '0.48872444']",t
167,"['0.2512537', '0.47751385']","['0.23715022', '0.4958868']","['0.23702383', '0.4598896']","['0.24167493', '0.5224939']","['0.24526517', '0.43879148']","['0.3077973', '0.54528314']","['0.31046385', '0.4260323']","['0.2163611', '0.6075273']","['0.232326', '0.35575446']","['0.120596364', '0.6524513']","['0.14288884', '0.3035444']","['0.55119413', '0.52988404']","['0.5537001', '0.44746208']","['0.71917975', '0.52510387']","['0.71766824', '0.39186963']","['0.8705765', '0.52087843']","['0.8516107', '0.47673154']",t
168,"['0.08623346', '0.5208178']","['0.06780773', '0.5422589']","['0.066985816', '0.4999316']","['0.09254612', '0.5727802']","['0.09064093', '0.4755414']","['0.22645077', '0.6294281']","['0.23921774', '0.43214327']","['0.3768228', '0.6677891']","['0.39724126', '0.40380242']","['0.2972477', '0.5539477']","['0.29700834', '0.49836656']","['0.5247793', '0.5590203']","['0.511007', '0.45355257']","['0.7411239', '0.5342729']","['0.6409269', '0.2565061']","['0.9262278', '0.5121363']","['0.6292753', '0.47580555']",t
169,"['0.35666928', '0.50304806']","['0.3429186', '0.5156262']","['0.3410999', '0.496449']","['0.34371528', '0.5301522']","['0.34791893', '0.47976956']","['0.3755762', '0.54636073']","['0.37367734', '0.4658747']","['0.27024713', '0.53686273']","['0.27868265', '0.465982']","['0.229802', '0.51816493']","['0.22876185', '0.48807663']","['0.5366891', '0.5220715']","['0.5241873', '0.46313694']","['0.65628374', '0.49434155']","['0.58412915', '0.36928013']","['0.7669211', '0.47870106']","['0.5885271', '0.46097338']",t
170,"['0.2873735', '0.45025346']","['0.27618614', '0.46056196']","['0.2762317', '0.43905345']","['0.28356194', '0.4746171']","['0.28698307', '0.42122725']","['0.33304042', '0.50043714']","['0.33925113', '0.40118712']","['0.24450001', '0.5354988']","['0.24504301', '0.36756092']","['0.15809302', '0.5497426']","['0.16626617', '0.3592172']","['0.51023865', '0.4972568']","['0.52288276', '0.42625466']","['0.609804', '0.6007309']","['0.681367', '0.44533944']","['0.58238983', '0.4817825']","['0.7896142', '0.45974112']",t
171,"['0.23811781', '0.5038848']","['0.22876596', '0.51478857']","['0.23065995', '0.48727897']","['0.24157904', '0.5318361']","['0.24836662', '0.46504432']","['0.31967145', '0.5633066']","['0.32684422', '0.44461328']","['0.4278649', '0.599941']","['0.43599185', '0.42120135']","['0.36379156', '0.528538']","['0.36798742', '0.4896982']","['0.5280645', '0.53175235']","['0.51340663', '0.45860204']","['0.68104535', '0.50819767']","['0.6074113', '0.32436955']","['0.83171797', '0.4875015']","['0.59450597', '0.47104245']",t
172,"['0.34782356', '0.4845192']","['0.34086344', '0.4935677']","['0.33346894', '0.47742206']","['0.35110554', '0.50690067']","['0.34355664', '0.4676018']","['0.38293314', '0.51637995']","['0.3840596', '0.45148912']","['0.28277507', '0.5159696']","['0.29941365', '0.46249968']","['0.22159916', '0.50607216']","['0.2227697', '0.47750986']","['0.5122378', '0.51842856']","['0.52783483', '0.4684694']","['0.5735838', '0.6022158']","['0.6383105', '0.48521745']","['0.5726676', '0.5109334']","['0.7419899', '0.4924772']",t
173,"['0.19239183', '0.49661592']","['0.175851', '0.5148529']","['0.17455675', '0.48096958']","['0.18699305', '0.54161227']","['0.18878734', '0.46674943']","['0.2599063', '0.5685114']","['0.26625618', '0.4357667']","['0.13487247', '0.6338338']","['0.15099874', '0.35401344']","['0.094491795', '0.5169276']","['0.097988024', '0.47044957']","['0.50887287', '0.52098703']","['0.49625313', '0.43061796']","['0.7248852', '0.4856134']","['0.6079699', '0.27997085']","['0.9123481', '0.459372']","['0.67966485', '0.43423417']",t
174,"['0.2986501', '0.40005928']","['0.27845687', '0.42648852']","['0.26807153', '0.38420415']","['0.27997568', '0.44787124']","['0.28064796', '0.36795405']","['0.4735116', '0.39697403']","['0.3782535', '0.40935335']","['0.6513922', '0.4598671']","['0.6062848', '0.43529898']","['0.6775521', '0.49613968']","['0.67667276', '0.49807492']","['0.7605962', '0.538406']","['0.758492', '0.501285']","['0.7658254', '0.54082304']","['0.770307', '0.501356']","['0.92730045', '0.4909942']","['0.81178534', '0.4847869']",t
